subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,mean_sample_number
79,-2.8183915906444983,-2.7977097979478134,-2.8356832094402447,197.75325201998928
80,-2.818391590644497,-2.801046181776328,-2.8360735956692698,197.75325201998928
81,-2.8183915906444925,-2.8085120923490963,-2.836524258077424,197.75325201998928
82,-2.8183915906444916,-2.809360317314127,-2.836807940228124,197.75325201998928
83,-2.818446271634129,-2.809360317314132,-2.8370403109760796,242.17454052866117
84,-2.8185009442119453,-2.809360317314125,-2.8373729435843287,242.17454052866117
85,-2.8185573361054432,-2.8239145479883376,-2.8375428330623214,290.02833028484645
86,-2.8186167888680878,-2.8239145479883416,-2.837681983509699,353.13479727955786
87,-2.8186623095292296,-2.8239145479883287,-2.837865765424851,353.13479727955786
88,-2.8186988405702142,-2.8359217263088747,-2.8379974312952916,429.97243813421926
89,-2.818698840570209,-2.8361535332208323,-2.838379150935129,7281.439424086364
90,-2.8186988405702174,-2.836331175467795,-2.838956172923547,7281.439424086364
91,-2.8186988405702196,-2.8363311754677762,-2.8397432522545167,8915.721254357952
92,-2.8186988405702205,-2.836331175467785,-2.841039945332447,8915.721254357952
93,-2.818743512294806,-2.836563319403434,-2.841123948700306,9925.354074206667
94,-2.8187794765626117,-2.8367359725524786,-2.8412089919326933,9925.354074206667
95,-2.8188205015544767,-2.8367359725524897,-2.8412278775615194,12153.049022657513
96,-2.818852013179157,-2.8367359725524826,-2.84125171925108,12153.049022657513
97,-2.8189054071631845,-2.8367359725524826,-2.841354166863561,13037.024019360162
98,-2.818958652476297,-2.836735972552468,-2.8414586884238777,13037.024019360162
99,-2.8190129284526675,-2.836835453115313,-2.8414869142814694,15872.505293607976
100,-2.819070112054654,-2.836918232848078,-2.841524897857603,15872.505293607976
101,-2.8190701120546504,-2.836918232848078,-2.841567811904923,16783.84618662665
102,-2.8190701120546513,-2.836918232848073,-2.841614202149476,16783.84618662665
103,-2.819100213002877,-2.836918232848078,-2.841655788143768,16783.84618662665
104,-2.8191302566955363,-2.8369182328480766,-2.841700263107104,16783.84618662665
105,-2.8191302566955425,-2.8369182328480758,-2.841701825759799,16783.84618662665
106,-2.819130256695524,-2.8369182328480838,-2.8417031049152537,16783.84618662665
107,-2.8191471993862547,-2.836918232848083,-2.8417443180094266,17770.81040296133
108,-2.8191647014872188,-2.836918232848076,-2.841788449995329,17770.81040296133
109,-2.8191647014872183,-2.8369255282654766,-2.8418312237667562,20550.894604847705
110,-2.819164701487213,-2.8369474190622395,-2.84186982422256,20550.894604847705
111,-2.8191647014872263,-2.8369576969981405,-2.841903496224365,20550.894604847705
112,-2.819164701487225,-2.836996712949966,-2.8419348201169,20550.894604847705
113,-2.8192152381090145,-2.8370350772312265,-2.841985013484727,20550.894604847705
114,-2.819260304475146,-2.8370487250244936,-2.8420309121643186,20550.894604847705
115,-2.819260304475143,-2.83712798493149,-2.842139800906169,21635.864271925377
116,-2.8192603044751476,-2.837191394374298,-2.842237484096922,21635.864271925377
117,-2.819260304475153,-2.8371913943742975,-2.8422723581639806,23254.567551198754
118,-2.8192603044751507,-2.837191394374303,-2.8423047836501873,23254.567551198754
119,-2.8193138642985685,-2.8371913943742997,-2.8423752678791327,23254.567551198754
120,-2.819361162822527,-2.837191394374301,-2.842453682134643,23254.567551198754
121,-2.8194012030218545,-2.837191394374306,-2.8425680085895153,23254.567551198754
122,-2.8194353368006153,-2.8371913943742957,-2.842669150873191,23254.567551198754
123,-2.8194687478147005,-2.8372736461363752,-2.8428244630873514,24592.00016773502
124,-2.8195022402748267,-2.8373397711230695,-2.8429477001935877,24592.00016773502
125,-2.8195182710510465,-2.837416322670272,-2.843068581375181,26448.344398480916
126,-2.819534920303259,-2.8374748935323924,-2.843199957310305,26448.344398480916
127,-2.819534920303264,-2.837480009755329,-2.8433521932263304,28473.936278490743
128,-2.8195349203032616,-2.8375180433122966,-2.8435206044461787,28473.936278490743
129,-2.8195349203032536,-2.8375207420552293,-2.843538190060617,28473.936278490743
130,-2.819534920303257,-2.8375350474665857,-2.843551487138973,28473.936278490743
131,-2.8195349203032585,-2.837552346558008,-2.843722031648148,28473.936278490743
132,-2.8195349203032607,-2.837578993696437,-2.8438492237005177,28473.936278490743
133,-2.8195349203032634,-2.837578993696429,-2.8439231718000952,28691.427706044535
134,-2.819534920303254,-2.83757899369643,-2.84400213171809,28691.427706044535
135,-2.819534920303258,-2.8375789936964284,-2.8440493100106954,28691.427706044535
136,-2.8195349203032625,-2.837578993696429,-2.8441083135003833,28691.427706044535
137,-2.8195542681032206,-2.8375789936964315,-2.844173645264562,28691.427706044535
138,-2.819573894265431,-2.837578993696429,-2.844264443961131,28691.427706044535
139,-2.819609554113195,-2.837627504903907,-2.844417570527479,30050.57010410461
140,-2.819646913766357,-2.8376443901338377,-2.8445916165068503,30050.57010410461
141,-2.8196786667402467,-2.8376873805816722,-2.844698382579355,30050.57010410461
