bond_length,subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,fci_energy,rhf_energy,uhf_energy
2.0,56,-2.780499110911784,-2.8363776902158144,-2.832182010528659,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,57,-2.7809135535703065,-2.8363776958620734,-2.8323055685979877,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,58,-2.7813722425091023,-2.8364099625520307,-2.8324037164291433,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,59,-2.7997517385858406,-2.8364314815263327,-2.8325214419837095,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,60,-2.818960676677607,-2.836448662405049,-2.832618668635124,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,61,-2.818974609543482,-2.836565005664163,-2.832791493701841,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,62,-2.8189878296829436,-2.836668748250904,-2.8330014063594926,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,63,-2.819001133614036,-2.8366687749213377,-2.8331262699029103,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,64,-2.8190146565724983,-2.836669315256346,-2.8332978761394014,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,65,-2.8190157852996527,-2.8367905080182765,-2.833440853201086,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,66,-2.8190167239809307,-2.8368663265953353,-2.83368038902104,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,67,-2.8190755260160922,-2.836867135479074,-2.833950155964511,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,68,-2.8191425909301504,-2.8368676976381892,-2.834023657045204,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,69,-2.8192549073052238,-2.8369726221366593,-2.8341052228604444,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,70,-2.819395601888356,-2.8371346311096515,-2.834195714580778,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,71,-2.819406892805503,-2.837406109009435,-2.834389335255619,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,72,-2.8194165032091787,-2.837590993689696,-2.8346562501274946,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,73,-2.819462355935773,-2.8375929574155094,-2.8348888498100666,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,74,-2.819506607939277,-2.837594354918817,-2.8349965184543584,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,75,-2.819567130270677,-2.83771263820004,-2.835125875768542,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,76,-2.8196261232791504,-2.837833534148351,-2.835260103486901,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,77,-2.8199508862566818,-2.8379184653622027,-2.835358589150254,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,78,-2.8204598169328383,-2.838016908867767,-2.8355347514122076,-2.847192133955601,-2.368421284279994,-2.8194898991254087
2.0,79,-2.820584910641254,-2.8380525550789484,-2.8356832094402344,-2.847192133955601,-2.368421284279994,-2.8194898991254087
