subspace_size,fci_subspace_energy,fci_energy
65,-2.8334408532010906,-2.847192133955601
66,-2.8336803890210485,-2.847192133955601
67,-2.833950155964512,-2.847192133955601
68,-2.8340236570452197,-2.847192133955601
69,-2.834105222860444,-2.847192133955601
70,-2.8341957145807903,-2.847192133955601
71,-2.83438933525561,-2.847192133955601
72,-2.8346562501274883,-2.847192133955601
73,-2.834888849810074,-2.847192133955601
74,-2.834996518454361,-2.847192133955601
75,-2.8351258757685445,-2.847192133955601
76,-2.8352601034869056,-2.847192133955601
77,-2.8353585891502497,-2.847192133955601
78,-2.83553475141222,-2.847192133955601
79,-2.835683209440241,-2.847192133955601
80,-2.8360735956692817,-2.847192133955601
81,-2.836524258077407,-2.847192133955601
82,-2.8368079402281223,-2.847192133955601
83,-2.8370403109760707,-2.847192133955601
84,-2.837372943584329,-2.847192133955601
85,-2.83754283306232,-2.847192133955601
86,-2.837681983509696,-2.847192133955601
87,-2.837865765424854,-2.847192133955601
88,-2.837997431295275,-2.847192133955601
89,-2.838379150935118,-2.847192133955601
90,-2.8389561729235533,-2.847192133955601
91,-2.8397432522545123,-2.847192133955601
92,-2.841039945332457,-2.847192133955601
93,-2.841123948700305,-2.847192133955601
94,-2.8412089919326853,-2.847192133955601
95,-2.8412278775615225,-2.847192133955601
96,-2.84125171925107,-2.847192133955601
97,-2.841354166863558,-2.847192133955601
98,-2.8414586884238644,-2.847192133955601
99,-2.841486914281468,-2.847192133955601
100,-2.8415248978576,-2.847192133955601
101,-2.8415678119049295,-2.847192133955601
102,-2.841614202149461,-2.847192133955601
103,-2.841655788143763,-2.847192133955601
104,-2.8417002631070853,-2.847192133955601
105,-2.8417018257597917,-2.847192133955601
106,-2.8417031049152524,-2.847192133955601
107,-2.841744318009424,-2.847192133955601
108,-2.841788449995325,-2.847192133955601
109,-2.8418312237667482,-2.847192133955601
110,-2.841869824222568,-2.847192133955601
111,-2.8419034962243734,-2.847192133955601
112,-2.8419348201168972,-2.847192133955601
113,-2.8419850134847224,-2.847192133955601
114,-2.842030912164312,-2.847192133955601
115,-2.842139800906167,-2.847192133955601
116,-2.8422374840969082,-2.847192133955601
117,-2.8422723581639757,-2.847192133955601
118,-2.842304783650179,-2.847192133955601
119,-2.842375267879127,-2.847192133955601
120,-2.8424536821346345,-2.847192133955601
121,-2.8425680085895104,-2.847192133955601
122,-2.84266915087319,-2.847192133955601
123,-2.8428244630873474,-2.847192133955601
124,-2.8429477001935775,-2.847192133955601
125,-2.8430685813751997,-2.847192133955601
126,-2.8431999573102984,-2.847192133955601
127,-2.8433521932263286,-2.847192133955601
128,-2.8435206044461934,-2.847192133955601
129,-2.843538190060605,-2.847192133955601
130,-2.8435514871389653,-2.847192133955601
131,-2.8437220316481375,-2.847192133955601
132,-2.843849223700517,-2.847192133955601
133,-2.8439231718001,-2.847192133955601
134,-2.8440021317180935,-2.847192133955601
135,-2.8440493100106883,-2.847192133955601
136,-2.8441083135003944,-2.847192133955601
