bond_length,subspace_size,greedy_energy,fci_energy
1.0,66,-3.234415099072077,-3.236066279892346
1.0,67,-3.2344699466198894,-3.236066279892346
1.0,68,-3.2345250903555596,-3.236066279892346
1.0,69,-3.2345679845813553,-3.236066279892346
1.0,70,-3.2346075757914767,-3.236066279892346
1.0,71,-3.2346473416499104,-3.236066279892346
1.0,72,-3.234687158649604,-3.236066279892346
1.0,73,-3.234729882229883,-3.236066279892346
1.0,74,-3.2347641202590856,-3.236066279892346
1.0,75,-3.234799042243776,-3.236066279892346
1.0,76,-3.234833903104694,-3.236066279892346
1.0,77,-3.2348664721066465,-3.236066279892346
1.0,78,-3.234899720621404,-3.236066279892346
1.0,79,-3.234936178731736,-3.236066279892346
1.0,80,-3.2349688065193414,-3.236066279892346
1.0,81,-3.2350014865537378,-3.236066279892346
1.0,82,-3.2350341151321964,-3.236066279892346
1.0,83,-3.235067378968846,-3.236066279892346
1.0,84,-3.235099282346717,-3.236066279892346
1.0,85,-3.2351313856037556,-3.236066279892346
1.0,86,-3.2351654815255197,-3.236066279892346
1.0,87,-3.2351974548317797,-3.236066279892346
1.0,88,-3.2352294549079894,-3.236066279892346
1.0,89,-3.235261684060516,-3.236066279892346
1.0,90,-3.235288975906531,-3.236066279892346
1.0,91,-3.2353196202229064,-3.236066279892346
1.0,92,-3.235350207812559,-3.236066279892346
1.0,93,-3.2353734346821295,-3.236066279892346
1.0,94,-3.2353987931778505,-3.236066279892346
1.0,95,-3.2354211976853757,-3.236066279892346
1.0,96,-3.2354440680726637,-3.236066279892346
1.0,97,-3.2354662935792184,-3.236066279892346
1.0,98,-3.235490432079124,-3.236066279892346
1.0,99,-3.2355123597899462,-3.236066279892346
1.0,100,-3.235532992621686,-3.236066279892346
1.0,101,-3.2355527137514275,-3.236066279892346
1.0,102,-3.235572327843501,-3.236066279892346
1.0,103,-3.2355919526932526,-3.236066279892346
1.0,104,-3.2356105917228115,-3.236066279892346
1.0,105,-3.2356274039400086,-3.236066279892346
1.0,106,-3.2356444266863846,-3.236066279892346
1.0,107,-3.2356609613558036,-3.236066279892346
1.0,108,-3.235677596691975,-3.236066279892346
