bond_length,subspace_size,fci_subspace_energy,fci_energy
2.0,48,-2.8313533716948056,-2.8471921339555992
2.0,49,-2.831577586472638,-2.8471921339555992
2.0,50,-2.831703200007521,-2.8471921339555992
2.0,51,-2.83178117710708,-2.8471921339555992
2.0,52,-2.8319097926401935,-2.8471921339555992
2.0,53,-2.831977114981324,-2.8471921339555992
2.0,54,-2.8320368436797208,-2.8471921339555992
2.0,55,-2.8321132167987333,-2.8471921339555992
2.0,56,-2.832182010528656,-2.8471921339555992
2.0,57,-2.832305568597978,-2.8471921339555992
2.0,58,-2.8324037164291336,-2.8471921339555992
2.0,59,-2.832521441983696,-2.8471921339555992
2.0,60,-2.8326186686351162,-2.8471921339555992
2.0,61,-2.8327914937018366,-2.8471921339555992
2.0,62,-2.8330014063594735,-2.8471921339555992
2.0,63,-2.8331262699028907,-2.8471921339555992
2.0,64,-2.83329787613939,-2.8471921339555992
2.0,65,-2.8334408532010875,-2.8471921339555992
2.0,66,-2.833680389021022,-2.8471921339555992
2.0,67,-2.8339501559645037,-2.8471921339555992
2.0,68,-2.834023657045193,-2.8471921339555992
2.0,69,-2.8341052228604378,-2.8471921339555992
2.0,70,-2.8341957145807775,-2.8471921339555992
2.0,71,-2.834389335255596,-2.8471921339555992
2.0,72,-2.834656250127488,-2.8471921339555992
2.0,73,-2.834888849810065,-2.8471921339555992
2.0,74,-2.8349965184543424,-2.8471921339555992
2.0,75,-2.835125875768533,-2.8471921339555992
2.0,76,-2.835260103486896,-2.8471921339555992
2.0,77,-2.8353585891502537,-2.8471921339555992
2.0,78,-2.835534751412217,-2.8471921339555992
2.0,79,-2.8356832094402336,-2.8471921339555992
2.0,80,-2.8360735956692555,-2.8471921339555992
2.0,81,-2.836524258077416,-2.8471921339555992
2.0,82,-2.836807940228114,-2.8471921339555992
2.0,83,-2.8370403109760645,-2.8471921339555992
2.0,84,-2.8373729435843282,-2.8471921339555992
2.0,85,-2.8375428330623227,-2.8471921339555992
2.0,86,-2.837681983509693,-2.8471921339555992
2.0,87,-2.8378657654248562,-2.8471921339555992
2.0,88,-2.8379974312952765,-2.8471921339555992
2.0,89,-2.838379150935116,-2.8471921339555992
2.0,90,-2.8389561729235435,-2.8471921339555992
2.0,91,-2.839743252254503,-2.8471921339555992
2.0,92,-2.8410399453324375,-2.8471921339555992
2.0,93,-2.841123948700304,-2.8471921339555992
2.0,94,-2.8412089919326773,-2.8471921339555992
2.0,95,-2.841227877561521,-2.8471921339555992
2.0,96,-2.8412517192510687,-2.8471921339555992
2.0,97,-2.841354166863554,-2.8471921339555992
2.0,98,-2.8414586884238515,-2.8471921339555992
2.0,99,-2.841486914281459,-2.8471921339555992
2.0,100,-2.841524897857592,-2.8471921339555992
2.0,101,-2.8415678119049255,-2.8471921339555992
2.0,102,-2.841614202149459,-2.8471921339555992
2.0,103,-2.8416557881437536,-2.8471921339555992
2.0,104,-2.841700263107073,-2.8471921339555992
2.0,105,-2.841701825759784,-2.8471921339555992
2.0,106,-2.841703104915249,-2.8471921339555992
2.0,107,-2.841744318009407,-2.8471921339555992
2.0,108,-2.8417884499953177,-2.8471921339555992
2.0,109,-2.8418312237667434,-2.8471921339555992
2.0,110,-2.841869824222553,-2.8471921339555992
2.0,111,-2.8419034962243663,-2.8471921339555992
2.0,112,-2.841934820116899,-2.8471921339555992
2.0,113,-2.8419850134847264,-2.8471921339555992
2.0,114,-2.8420309121643177,-2.8471921339555992
2.0,115,-2.8421398009061662,-2.8471921339555992
2.0,116,-2.8422374840969225,-2.8471921339555992
2.0,117,-2.84227235816396,-2.8471921339555992
2.0,118,-2.8423047836501767,-2.8471921339555992
2.0,119,-2.842375267879125,-2.8471921339555992
2.0,120,-2.8424536821346416,-2.8471921339555992
2.0,121,-2.8425680085894967,-2.8471921339555992
2.0,122,-2.842669150873188,-2.8471921339555992
2.0,123,-2.8428244630873287,-2.8471921339555992
2.0,124,-2.8429477001935752,-2.8471921339555992
2.0,125,-2.8430685813751775,-2.8471921339555992
2.0,126,-2.843199957310288,-2.8471921339555992
2.0,127,-2.843352193226325,-2.8471921339555992
2.0,128,-2.84352060444618,-2.8471921339555992
2.0,129,-2.8435381900606074,-2.8471921339555992
2.0,130,-2.843551487138969,-2.8471921339555992
2.0,131,-2.8437220316481406,-2.8471921339555992
2.0,132,-2.8438492237005044,-2.8471921339555992
2.0,133,-2.8439231718000904,-2.8471921339555992
2.0,134,-2.8440021317180766,-2.8471921339555992
2.0,135,-2.8440493100106896,-2.8471921339555992
2.0,136,-2.844108313500392,-2.8471921339555992
2.0,137,-2.8441736452645583,-2.8471921339555992
2.0,138,-2.8442644439611238,-2.8471921339555992
2.0,139,-2.8444175705274692,-2.8471921339555992
2.0,140,-2.844591616506853,-2.8471921339555992
2.0,141,-2.8446983825793355,-2.8471921339555992
2.0,142,-2.844795458702694,-2.8471921339555992
2.0,143,-2.8450003869623637,-2.8471921339555992
2.0,144,-2.8451781259421995,-2.8471921339555992
2.0,145,-2.8452791086810034,-2.8471921339555992
2.0,146,-2.845368445887828,-2.8471921339555992
2.0,147,-2.8456019218401982,-2.8471921339555992
2.0,148,-2.845795216818197,-2.8471921339555992
2.0,149,-2.8459375694477176,-2.8471921339555992
2.0,150,-2.8460760063654473,-2.8471921339555992
2.0,151,-2.846222017862975,-2.8471921339555992
2.0,152,-2.8463517897041624,-2.8471921339555992
2.0,153,-2.84649213966108,-2.8471921339555992
